User_ID,Product_ID,Category,Price (Rs.),Discount (%),Final_Price(Rs.),Payment_Method,Purchase_Date
U305,P1492,Electronics,398.25,15,338.51,Easypaisa,2024-05-24
U305,P253,Books,458.34,0,458.34,JazzCash,2025-02-01
U305,P1147,Clothing,297.32,0,297.32,Cash on Delivery,2025-04-22
U305,P1939,Sports,419.54,10,377.59,Cash on Delivery,2024-09-10
U305,P495,Beauty,94.97,30,66.48,JazzCash,2025-04-25
U305,P232,Clothing,471.77,15,401.0,JazzCash,2025-08-13
U305,P1263,Electronics,163.54,25,122.66,Debit Card,2024-12-01
U305,P233,Home & Kitchen,223.13,5,211.97,JazzCash,2024-06-01
U305,P369,Books,420.46,5,399.44,Cash on Delivery,2024-02-26
U305,P230,Home & Kitchen,20.74,10,18.67,JazzCash,2025-07-06
U305,P147,Clothing,202.03,25,151.52,Easypaisa,2025-03-13
U305,P432,Toys,30.8,50,15.4,JazzCash,2024-10-20
U305,P560,Clothing,478.77,20,383.02,Easypaisa,2025-04-30
U305,P1137,Toys,204.56,0,204.56,JazzCash,2024-03-17
U305,P412,Beauty,311.55,25,233.66,UBL Omni,2024-03-04
U305,P346,Clothing,126.42,5,120.1,Easypaisa,2024-09-01
U305,P290,Sports,208.52,15,177.24,JazzCash,2024-05-05
U221,P1025,Beauty,210.36,10,189.32,Cash on Delivery,2025-05-26
U221,P1982,Toys,221.92,20,177.54,Debit Card,2025-04-30
U221,P1884,Electronics,258.91,25,194.18,Cash on Delivery,2024-08-09
U221,P708,Toys,365.26,0,365.26,JazzCash,2024-10-30
U221,P1831,Sports,363.37,50,181.69,Debit Card,2024-12-21
U221,P1351,Beauty,209.89,30,146.92,JazzCash,2024-12-22
U221,P1171,Sports,338.0,10,304.2,UBL Omni,2024-12-14
U221,P1483,Clothing,61.37,5,58.3,UBL Omni,2024-12-04
U221,P173,Electronics,186.96,20,149.57,UBL Omni,2025-04-08
U221,P608,Beauty,347.43,15,295.32,Easypaisa,2024-08-31
U221,P257,Books,384.7,15,327.0,Debit Card,2024-10-27
U221,P1454,Home & Kitchen,402.85,15,342.42,UBL Omni,2024-03-16
U221,P1439,Electronics,286.47,25,214.85,JazzCash,2025-04-01
U221,P1542,Beauty,251.84,5,239.25,UBL Omni,2024-07-15
U221,P1456,Clothing,244.73,50,122.36,JazzCash,2025-08-18
U221,P1034,Books,484.89,20,387.91,UBL Omni,2024-11-04
U306,P642,Electronics,224.56,50,112.28,Cash on Delivery,2025-09-05
U306,P257,Books,384.7,15,327.0,Debit Card,2024-11-18
U306,P1430,Clothing,186.26,20,149.01,JazzCash,2025-06-25
U306,P1639,Sports,475.5,10,427.95,Cash on Delivery,2024-11-14
U306,P592,Home & Kitchen,90.79,0,90.79,Easypaisa,2024-09-01
U306,P1935,Toys,253.31,5,240.64,Debit Card,2025-07-19
U306,P1694,Home & Kitchen,492.64,20,394.11,UBL Omni,2024-07-31
U306,P1019,Electronics,28.61,10,25.75,Debit Card,2025-02-06
U306,P1639,Sports,475.5,10,427.95,Cash on Delivery,2025-10-08
U306,P147,Clothing,202.03,25,151.52,Easypaisa,2025-02-13
U306,P1215,Beauty,95.3,5,90.53,Easypaisa,2024-09-28
U268,P300,Books,192.48,15,163.61,UBL Omni,2025-04-22
U268,P1575,Books,215.34,5,204.57,UBL Omni,2024-08-10
U268,P1836,Sports,117.91,0,117.91,Debit Card,2025-06-09
U268,P1406,Beauty,498.34,5,473.42,Easypaisa,2025-01-14
U268,P1608,Electronics,316.84,25,237.63,Debit Card,2024-11-25
U268,P1934,Toys,236.62,20,189.3,Debit Card,2025-01-12
U268,P1957,Electronics,472.29,0,472.29,Debit Card,2024-12-07
U268,P1608,Electronics,316.84,25,237.63,Debit Card,2025-01-09
U230,P1935,Toys,253.31,5,240.64,Debit Card,2025-04-06
U230,P626,Toys,411.1,30,287.77,Cash on Delivery,2025-06-11
