User_ID,Product_ID,Category,Price (Rs.),Discount (%),Final_Price(Rs.),Payment_Method,Purchase_Date,Year,Month,Day
U2394,P3447,6,196.34,5,0.3679343287230359,Easypaisa,2024-03-21,2024,3,21
U2381,P2681,2,93.05,50,0.08276128979691606,Cash on Delivery,2024-05-15,2024,5,15
U2454,P2128,4,40.1,5,0.06558979895300757,Cash on Delivery,2024-01-04,2024,1,4
U381,P1047,0,462.7,15,0.7891145377141345,Debit Card,2024-09-25,2024,9,25
U3414,P3445,0,258.08,25,0.3822744586804636,Easypaisa,2024-06-19,2024,6,19
U3445,P764,2,34.36,5,0.05448841993766933,Cash on Delivery,2024-06-07,2024,6,7
U2805,P2394,5,186.17,50,0.17760169474263135,JazzCash,2024-05-25,2024,5,25
U2962,P3460,1,318.15,10,0.571242335974579,UBL Omni,2024-03-17,2024,3,17
U968,P3151,4,234.62,15,0.39423135681258026,UBL Omni,2024-04-18,2024,4,18
U2767,P2835,4,330.53,50,0.32462876581182654,Cash on Delivery,2024-04-15,2024,4,15
U1060,P2306,1,255.26,25,0.3779561240910109,Easypaisa,2024-11-03,2024,11,3
U1709,P2811,5,426.82,20,0.6835394048031288,UBL Omni,2024-03-29,2024,3,29
U1400,P1443,3,476.41,10,0.8613855335791254,Easypaisa,2024-05-06,2024,5,6
U1091,P478,1,31.73,5,0.04939604424256004,Cash on Delivery,2024-09-29,2024,9,29
U3534,P1130,2,173.51,20,0.2707514309575703,Easypaisa,2024-01-28,2024,1,28
U1641,P115,2,79.12,5,0.141099545760088,JazzCash,2024-08-17,2024,8,17
U3483,P1086,0,49.61,20,0.06884891939787749,UBL Omni,2024-04-17,2024,4,17
U2609,P1706,6,435.6,50,0.4316501334202433,Easypaisa,2024-04-04,2024,4,4
U304,P2159,2,332.57,0,0.6654309168313203,Easypaisa,2024-02-18,2024,2,18
U1444,P193,5,108.95,0,0.20992809565518508,Easypaisa,2024-11-16,2024,11,16
