User_ID,Product_ID,Category,Price (Rs.),Discount (%),Final_Price(Rs.),Payment_Method,Purchase_Date,Year,Month,Day,Recency,Frequency,Monetary_Value
U977,P1661,2,Rs. 139.5,25,Rs. 104.62,UBL Omni,2024-01-12,2024,1,12,422,1,104.62
U770,P1858,0,Rs. 353.77,15,Rs. 300.7,JazzCash,2024-02-05,2024,2,5,398,1,300.7
U532,P978,0,Rs. 416.88,25,Rs. 312.66,Easypaisa,2024-10-22,2024,10,22,138,1,312.66
U53,P323,2,Rs. 377.06,5,Rs. 358.21,UBL Omni,2024-08-11,2024,8,11,210,1,358.21
U1691,P411,5,Rs. 444.49,50,Rs. 222.25,UBL Omni,2024-11-13,2024,11,13,116,1,222.25
U891,P1202,6,Rs. 84.09,5,Rs. 79.89,JazzCash,2024-03-13,2024,3,13,361,1,79.89
U771,P1148,2,Rs. 401.8,10,Rs. 361.62,Easypaisa,2024-11-20,2024,11,20,109,1,361.62
U758,P1004,3,Rs. 411.94,0,Rs. 411.94,Cash on Delivery,2024-05-22,2024,5,22,291,1,411.94
U779,P1343,0,Rs. 112.45,0,Rs. 112.45,UBL Omni,2024-07-07,2024,7,7,245,1,112.45
U1130,P1036,6,Rs. 219.48,25,Rs. 164.61,Visa,2024-07-18,2024,7,18,234,1,164.61
U980,P1016,6,Rs. 334.47,30,Rs. 234.13,Visa,2024-08-25,2024,8,25,196,1,234.13
U920,P813,5,Rs. 235.28,25,Rs. 176.46,Cash on Delivery,2024-05-15,2024,5,15,298,1,176.46
U1293,P56,5,Rs. 278.41,5,Rs. 264.49,Cash on Delivery,2024-11-07,2024,11,7,122,1,264.49
U750,P487,2,Rs. 421.76,50,Rs. 210.88,UBL Omni,2024-03-21,2024,3,21,353,1,210.88
U247,P1835,2,Rs. 387.81,20,Rs. 310.25,Cash on Delivery,2024-08-01,2024,8,1,220,1,310.25
U1432,P379,0,Rs. 37.67,25,Rs. 28.25,JazzCash,2024-04-07,2024,4,7,336,1,28.25
U1317,P715,5,Rs. 305.91,20,Rs. 244.73,Visa,2024-09-11,2024,9,11,179,1,244.73
U1395,P163,5,Rs. 320.09,0,Rs. 320.09,JazzCash,2024-03-15,2024,3,15,359,1,320.09
U842,P138,4,Rs. 219.9,0,Rs. 219.9,Visa,2024-01-09,2024,1,9,425,1,219.9
U1773,P720,5,Rs. 245.8,10,Rs. 221.22,Visa,2024-09-21,2024,9,21,169,1,221.22
U788,P1216,1,Rs. 175.77,25,Rs. 131.83,UBL Omni,2024-05-13,2024,5,13,300,1,131.83
U416,P1800,6,Rs. 442.58,5,Rs. 420.45,Easypaisa,2024-06-25,2024,6,25,257,1,420.45
U664,P602,1,Rs. 210.37,30,Rs. 147.26,Visa,2024-05-11,2024,5,11,302,1,147.26
U853,P107,3,Rs. 93.6,0,Rs. 93.6,JazzCash,2024-01-05,2024,1,5,429,1,93.6
U81,P158,2,Rs. 373.0,5,Rs. 354.35,Cash on Delivery,2024-09-19,2024,9,19,171,1,354.35
U874,P1539,2,Rs. 90.2,10,Rs. 81.18,Visa,2024-01-28,2024,1,28,406,1,81.18
U581,P1962,1,Rs. 460.93,20,Rs. 368.74,UBL Omni,2024-04-20,2024,4,20,323,1,368.74
U57,P71,1,Rs. 471.66,5,Rs. 448.08,UBL Omni,2024-06-13,2024,6,13,269,1,448.08
U1063,P1600,3,Rs. 171.28,30,Rs. 119.9,Visa,2024-10-30,2024,10,30,130,1,119.9
U774,P806,6,Rs. 245.98,15,Rs. 209.08,Cash on Delivery,2024-06-28,2024,6,28,254,1,209.08
U34,P1334,5,Rs. 421.25,25,Rs. 315.94,Cash on Delivery,2024-04-16,2024,4,16,327,1,315.94
U1874,P1287,2,Rs. 362.83,30,Rs. 253.98,Visa,2024-04-19,2024,4,19,324,1,253.98
U1940,P640,4,Rs. 473.16,30,Rs. 331.21,Easypaisa,2024-09-23,2024,9,23,167,1,331.21
U1188,P7,6,Rs. 52.16,10,Rs. 46.94,Cash on Delivery,2024-02-25,2024,2,25,378,1,46.94
U1433,P1736,3,Rs. 242.01,50,Rs. 121.0,Easypaisa,2024-05-20,2024,5,20,293,1,121.0
U831,P317,5,Rs. 81.82,10,Rs. 73.64,Easypaisa,2024-06-05,2024,6,5,277,1,73.64
U99,P289,0,Rs. 15.53,10,Rs. 13.98,JazzCash,2024-04-25,2024,4,25,318,1,13.98
U1396,P1903,0,Rs. 182.13,50,Rs. 91.06,JazzCash,2024-04-09,2024,4,9,334,1,91.06
U1508,P342,5,Rs. 18.83,25,Rs. 14.12,Cash on Delivery,2024-10-18,2024,10,18,142,1,14.12
U376,P1494,3,Rs. 311.05,30,Rs. 217.73,Easypaisa,2024-04-27,2024,4,27,316,1,217.73
U1506,P1763,0,Rs. 248.95,15,Rs. 211.61,Visa,2024-04-14,2024,4,14,329,1,211.61
U901,P1820,5,Rs. 333.98,30,Rs. 233.79,Easypaisa,2024-05-20,2024,5,20,293,1,233.79
U1346,P1236,0,Rs. 199.31,5,Rs. 189.34,JazzCash,2024-08-31,2024,8,31,190,1,189.34
U66,P1153,5,Rs. 342.6,20,Rs. 274.08,Easypaisa,2024-02-04,2024,2,4,399,1,274.08
U1884,P533,2,Rs. 43.45,25,Rs. 32.59,Easypaisa,2024-02-22,2024,2,22,381,1,32.59
U1304,P1606,2,Rs. 334.28,30,Rs. 234.0,UBL Omni,2024-03-07,2024,3,7,367,1,234.0
U636,P1617,5,Rs. 122.14,5,Rs. 116.03,UBL Omni,2024-05-08,2024,5,8,305,1,116.03
U1611,P895,5,Rs. 246.87,10,Rs. 222.18,JazzCash,2024-08-09,2024,8,9,212,1,222.18
U1100,P928,6,Rs. 202.26,20,Rs. 161.81,Cash on Delivery,2024-09-13,2024,9,13,177,1,161.81
U172,P1432,2,Rs. 60.45,20,Rs. 48.36,JazzCash,2024-04-23,2024,4,23,320,1,48.36
U1699,P988,2,Rs. 117.23,0,Rs. 117.23,JazzCash,2024-04-11,2024,4,11,332,1,117.23
U605,P1105,4,Rs. 232.12,5,Rs. 220.51,JazzCash,2024-08-27,2024,8,27,194,1,220.51
U895,P223,0,Rs. 424.21,30,Rs. 296.95,UBL Omni,2024-09-06,2024,9,6,184,1,296.95
U626,P1108,1,Rs. 327.19,20,Rs. 261.75,Visa,2024-11-02,2024,11,2,127,1,261.75
U1830,P1300,5,Rs. 155.98,20,Rs. 124.78,UBL Omni,2024-05-14,2024,5,14,299,1,124.78
U1768,P1348,1,Rs. 408.43,50,Rs. 204.22,Visa,2024-05-04,2024,5,4,309,1,204.22
U650,P1764,2,Rs. 117.74,20,Rs. 94.19,Easypaisa,2024-06-28,2024,6,28,254,1,94.19
U204,P1305,5,Rs. 23.78,25,Rs. 17.84,Visa,2024-05-05,2024,5,5,308,1,17.84
U316,P1682,1,Rs. 410.41,50,Rs. 205.21,UBL Omni,2024-06-02,2024,6,2,280,1,205.21
U1097,P1509,6,Rs. 94.21,25,Rs. 70.66,Easypaisa,2024-04-06,2024,4,6,337,1,70.66
U851,P1030,4,Rs. 423.01,5,Rs. 401.86,Easypaisa,2024-01-31,2024,1,31,403,1,401.86
U219,P1410,2,Rs. 125.93,20,Rs. 100.74,Easypaisa,2024-06-14,2024,6,14,268,1,100.74
U596,P906,2,Rs. 419.78,20,Rs. 335.82,JazzCash,2024-08-08,2024,8,8,213,1,335.82
U139,P258,4,Rs. 92.03,20,Rs. 73.62,UBL Omni,2024-07-21,2024,7,21,231,1,73.62
U1080,P1675,4,Rs. 349.16,15,Rs. 296.79,UBL Omni,2024-03-11,2024,3,11,363,1,296.79
U680,P1380,3,Rs. 344.85,5,Rs. 327.61,Visa,2024-05-05,2024,5,5,308,1,327.61
U140,P836,6,Rs. 65.75,0,Rs. 65.75,UBL Omni,2024-07-28,2024,7,28,224,1,65.75
U1862,P500,1,Rs. 304.57,5,Rs. 289.34,Easypaisa,2024-01-08,2024,1,8,426,1,289.34
U1035,P1117,0,Rs. 163.3,30,Rs. 114.31,UBL Omni,2024-05-31,2024,5,31,282,1,114.31
U126,P730,6,Rs. 253.19,5,Rs. 240.53,Visa,2024-05-23,2024,5,23,290,1,240.53
U1000,P1044,4,Rs. 241.97,10,Rs. 217.77,Cash on Delivery,2024-07-17,2024,7,17,235,1,217.77
U934,P656,6,Rs. 328.31,10,Rs. 295.48,UBL Omni,2024-08-30,2024,8,30,191,1,295.48
U1697,P322,6,Rs. 185.17,0,Rs. 185.17,Cash on Delivery,2024-09-14,2024,9,14,176,1,185.17
U498,P1431,6,Rs. 241.52,5,Rs. 229.44,Visa,2024-07-07,2024,7,7,245,1,229.44
U240,P82,1,Rs. 56.4,5,Rs. 53.58,Visa,2024-08-30,2024,8,30,191,1,53.58
U474,P63,4,Rs. 177.59,20,Rs. 142.07,UBL Omni,2024-05-17,2024,5,17,296,1,142.07
U412,P1142,0,Rs. 352.62,0,Rs. 352.62,UBL Omni,2024-04-27,2024,4,27,316,1,352.62
U551,P1984,1,Rs. 105.16,5,Rs. 99.9,Easypaisa,2024-08-27,2024,8,27,194,1,99.9
U1993,P131,6,Rs. 131.54,5,Rs. 124.96,Easypaisa,2024-11-09,2024,11,9,120,1,124.96
U133,P341,3,Rs. 439.29,20,Rs. 351.43,JazzCash,2024-06-05,2024,6,5,277,1,351.43
U1496,P1609,2,Rs. 125.65,10,Rs. 113.09,JazzCash,2024-02-27,2024,2,27,376,1,113.09
U697,P722,2,Rs. 264.43,0,Rs. 264.43,JazzCash,2024-02-11,2024,2,11,392,1,264.43
U214,P6,6,Rs. 40.04,0,Rs. 40.04,UBL Omni,2024-03-01,2024,3,1,373,1,40.04
U80,P1521,1,Rs. 285.17,0,Rs. 285.17,UBL Omni,2024-08-03,2024,8,3,218,1,285.17
U496,P424,6,Rs. 493.29,25,Rs. 369.97,Visa,2024-11-17,2024,11,17,112,1,369.97
U1520,P435,3,Rs. 352.47,0,Rs. 352.47,Easypaisa,2024-06-25,2024,6,25,257,1,352.47
U1592,P473,2,Rs. 191.08,20,Rs. 152.86,JazzCash,2024-06-24,2024,6,24,258,1,152.86
U274,P498,6,Rs. 304.02,15,Rs. 258.42,Easypaisa,2024-09-13,2024,9,13,177,1,258.42
U265,P1466,6,Rs. 444.27,10,Rs. 399.84,Cash on Delivery,2024-02-26,2024,2,26,377,1,399.84
U1022,P447,5,Rs. 111.63,30,Rs. 78.14,Cash on Delivery,2024-04-26,2024,4,26,317,1,78.14
U1913,P130,6,Rs. 494.04,5,Rs. 469.34,UBL Omni,2024-04-23,2024,4,23,320,1,469.34
U847,P1476,5,Rs. 475.29,25,Rs. 356.47,Cash on Delivery,2024-03-07,2024,3,7,367,1,356.47
U880,P125,2,Rs. 246.98,30,Rs. 172.89,JazzCash,2024-05-11,2024,5,11,302,1,172.89
U737,P23,4,Rs. 132.48,20,Rs. 105.98,JazzCash,2024-05-01,2024,5,1,312,1,105.98
U900,P444,4,Rs. 368.81,5,Rs. 350.37,Easypaisa,2024-09-22,2024,9,22,168,1,350.37
U120,P1741,5,Rs. 212.6,0,Rs. 212.6,JazzCash,2024-03-16,2024,3,16,358,1,212.6
U266,P1478,3,Rs. 307.25,10,Rs. 276.53,Cash on Delivery,2024-10-23,2024,10,23,137,1,276.53
U1904,P34,3,Rs. 436.45,20,Rs. 349.16,Easypaisa,2024-08-24,2024,8,24,197,1,349.16
U281,P994,0,Rs. 333.18,10,Rs. 299.86,Visa,2024-04-16,2024,4,16,327,1,299.86
U1237,P817,3,Rs. 38.74,10,Rs. 34.87,UBL Omni,2024-04-19,2024,4,19,324,1,34.87
U1668,P1514,3,Rs. 442.46,0,Rs. 442.46,Easypaisa,2024-11-05,2024,11,5,124,1,442.46
U671,P1664,3,Rs. 14.54,5,Rs. 13.81,Easypaisa,2024-04-26,2024,4,26,317,1,13.81
U1102,P1802,6,Rs. 152.43,20,Rs. 121.94,Visa,2024-04-02,2024,4,2,341,1,121.94
U698,P189,6,Rs. 243.52,15,Rs. 206.99,Cash on Delivery,2024-01-22,2024,1,22,412,1,206.99
U49,P161,5,Rs. 366.4,15,Rs. 311.44,Easypaisa,2024-09-12,2024,9,12,178,1,311.44
U1444,P1777,6,Rs. 291.38,10,Rs. 262.24,Visa,2024-09-13,2024,9,13,177,1,262.24
U1132,P1714,1,Rs. 479.63,0,Rs. 479.63,JazzCash,2024-04-12,2024,4,12,331,1,479.63
U691,P1321,1,Rs. 354.11,0,Rs. 354.11,Visa,2024-06-29,2024,6,29,253,1,354.11
U1867,P1033,6,Rs. 410.07,50,Rs. 205.03,Cash on Delivery,2024-09-05,2024,9,5,185,1,205.03
U363,P1982,6,Rs. 221.92,20,Rs. 177.54,Visa,2024-08-21,2024,8,21,200,1,177.54
U1512,P1801,5,Rs. 375.0,20,Rs. 300.0,JazzCash,2024-03-03,2024,3,3,371,1,300.0
U1295,P1188,1,Rs. 36.34,50,Rs. 18.17,Cash on Delivery,2024-04-08,2024,4,8,335,1,18.17
U1625,P32,0,Rs. 497.52,50,Rs. 248.76,JazzCash,2024-03-26,2024,3,26,348,1,248.76
U828,P46,2,Rs. 321.56,25,Rs. 241.17,Cash on Delivery,2024-04-25,2024,4,25,318,1,241.17
U1843,P1671,1,Rs. 434.51,15,Rs. 369.33,UBL Omni,2024-07-15,2024,7,15,237,1,369.33
U577,P797,5,Rs. 225.59,25,Rs. 169.19,Easypaisa,2024-09-11,2024,9,11,179,1,169.19
U859,P1726,4,Rs. 261.58,30,Rs. 183.11,Cash on Delivery,2024-02-07,2024,2,7,396,1,183.11
U1738,P1246,5,Rs. 40.61,30,Rs. 28.43,Visa,2024-09-20,2024,9,20,170,1,28.43
U752,P1222,0,Rs. 142.53,10,Rs. 128.28,JazzCash,2024-10-07,2024,10,7,153,1,128.28
U1460,P784,2,Rs. 330.38,15,Rs. 280.82,Easypaisa,2024-10-27,2024,10,27,133,1,280.82
U421,P560,2,Rs. 478.77,20,Rs. 383.02,Easypaisa,2024-11-19,2024,11,19,110,1,383.02
U201,P1907,6,Rs. 145.1,25,Rs. 108.82,JazzCash,2024-01-09,2024,1,9,425,1,108.82
U267,P1015,4,Rs. 69.64,20,Rs. 55.71,Visa,2024-09-25,2024,9,25,165,1,55.71
U282,P1114,3,Rs. 384.61,0,Rs. 384.61,JazzCash,2024-02-29,2024,2,29,374,1,384.61
U368,P1351,0,Rs. 209.89,30,Rs. 146.92,JazzCash,2024-02-29,2024,2,29,374,1,146.92
U794,P1529,0,Rs. 48.61,25,Rs. 36.46,Easypaisa,2024-06-15,2024,6,15,267,1,36.46
U1442,P439,1,Rs. 26.71,30,Rs. 18.7,Cash on Delivery,2024-06-05,2024,6,5,277,1,18.7
U32,P1102,4,Rs. 373.45,30,Rs. 261.41,UBL Omni,2024-02-29,2024,2,29,374,1,261.41
U102,P1496,1,Rs. 358.31,15,Rs. 304.56,Visa,2024-01-25,2024,1,25,409,1,304.56
U665,P1115,5,Rs. 432.56,30,Rs. 302.79,Visa,2024-05-17,2024,5,17,296,1,302.79
U1777,P1775,4,Rs. 477.27,30,Rs. 334.09,JazzCash,2024-10-22,2024,10,22,138,1,334.09
U996,P821,2,Rs. 220.71,10,Rs. 198.64,Easypaisa,2024-03-29,2024,3,29,345,1,198.64
U552,P1687,2,Rs. 477.1,15,Rs. 405.54,Cash on Delivery,2024-11-16,2024,11,16,113,1,405.54
U1066,P1134,3,Rs. 364.65,5,Rs. 346.42,UBL Omni,2024-02-22,2024,2,22,381,1,346.42
U448,P972,4,Rs. 98.93,0,Rs. 98.93,JazzCash,2024-10-30,2024,10,30,130,1,98.93
U903,P396,0,Rs. 214.77,50,Rs. 107.39,JazzCash,2024-06-13,2024,6,13,269,1,107.39
U1667,P1999,0,Rs. 119.15,30,Rs. 83.41,Cash on Delivery,2024-07-29,2024,7,29,223,1,83.41
U1207,P1059,1,Rs. 161.32,0,Rs. 161.32,UBL Omni,2024-04-14,2024,4,14,329,1,161.32
U1514,P703,6,Rs. 47.82,50,Rs. 23.91,Visa,2024-02-25,2024,2,25,378,1,23.91
U1473,P1451,6,Rs. 170.08,50,Rs. 85.04,Easypaisa,2024-11-13,2024,11,13,116,1,85.04
U1813,P1774,6,Rs. 347.71,10,Rs. 312.94,Visa,2024-11-03,2024,11,3,126,1,312.94
U413,P1486,1,Rs. 439.81,15,Rs. 373.84,Easypaisa,2024-05-25,2024,5,25,288,1,373.84
U1252,P842,4,Rs. 239.96,50,Rs. 119.98,Visa,2024-07-11,2024,7,11,241,1,119.98
U335,P677,6,Rs. 221.53,30,Rs. 155.07,JazzCash,2024-10-16,2024,10,16,144,1,155.07
U601,P37,3,Rs. 159.68,30,Rs. 111.78,Visa,2024-07-29,2024,7,29,223,1,111.78
U26,P480,1,Rs. 66.29,50,Rs. 33.15,JazzCash,2024-09-16,2024,9,16,174,1,33.15
U641,P809,1,Rs. 96.23,20,Rs. 76.98,Visa,2024-07-19,2024,7,19,233,1,76.98
U138,P1771,5,Rs. 78.11,25,Rs. 58.58,JazzCash,2024-08-04,2024,8,4,217,1,58.58
U673,P1862,4,Rs. 472.77,20,Rs. 378.22,Cash on Delivery,2024-03-29,2024,3,29,345,1,378.22
U637,P67,5,Rs. 440.5,50,Rs. 220.25,Easypaisa,2024-09-24,2024,9,24,166,1,220.25
U481,P1243,6,Rs. 305.11,5,Rs. 289.85,Visa,2024-08-28,2024,8,28,193,1,289.85
U1794,P281,5,Rs. 455.94,30,Rs. 319.16,Easypaisa,2024-03-29,2024,3,29,345,1,319.16
U1860,P805,4,Rs. 68.53,0,Rs. 68.53,Visa,2024-10-21,2024,10,21,139,1,68.53
U1886,P1848,6,Rs. 333.36,10,Rs. 300.02,Visa,2024-02-27,2024,2,27,376,1,300.02
U1007,P1227,5,Rs. 220.37,20,Rs. 176.3,JazzCash,2024-02-05,2024,2,5,398,1,176.3
U206,P499,0,Rs. 416.65,15,Rs. 354.15,Easypaisa,2024-07-05,2024,7,5,247,1,354.15
U717,P205,6,Rs. 422.63,50,Rs. 211.31,JazzCash,2024-10-21,2024,10,21,139,1,211.31
U1562,P1646,2,Rs. 369.37,0,Rs. 369.37,UBL Omni,2024-10-24,2024,10,24,136,1,369.37
U612,P679,5,Rs. 221.24,0,Rs. 221.24,Easypaisa,2024-01-04,2024,1,4,430,1,221.24
U1201,P534,0,Rs. 196.54,0,Rs. 196.54,Visa,2024-10-21,2024,10,21,139,1,196.54
U1871,P1979,5,Rs. 375.79,30,Rs. 263.05,Cash on Delivery,2024-04-05,2024,4,5,338,1,263.05
U31,P1101,2,Rs. 412.92,50,Rs. 206.46,Cash on Delivery,2024-03-07,2024,3,7,367,1,206.46
U1192,P590,4,Rs. 29.92,50,Rs. 14.96,Visa,2024-05-01,2024,5,1,312,1,14.96
U1316,P1615,4,Rs. 242.13,30,Rs. 169.49,Easypaisa,2024-01-28,2024,1,28,406,1,169.49
U1497,P92,5,Rs. 421.62,15,Rs. 358.38,UBL Omni,2024-01-14,2024,1,14,420,1,358.38
U1657,P1074,0,Rs. 218.68,10,Rs. 196.81,UBL Omni,2024-02-04,2024,2,4,399,1,196.81
U807,P195,5,Rs. 100.84,20,Rs. 80.67,Cash on Delivery,2024-03-10,2024,3,10,364,1,80.67
U1409,P877,3,Rs. 130.6,10,Rs. 117.54,Visa,2024-03-31,2024,3,31,343,1,117.54
U924,P176,1,Rs. 368.25,20,Rs. 294.6,UBL Omni,2024-11-16,2024,11,16,113,1,294.6
U312,P197,6,Rs. 92.41,50,Rs. 46.2,Easypaisa,2024-10-17,2024,10,17,143,1,46.2
U500,P1935,6,Rs. 253.31,5,Rs. 240.64,Visa,2024-10-25,2024,10,25,135,1,240.64
U943,P1173,1,Rs. 78.34,25,Rs. 58.76,Easypaisa,2024-06-09,2024,6,9,273,1,58.76
U815,P1014,4,Rs. 441.45,10,Rs. 397.31,Easypaisa,2024-09-12,2024,9,12,178,1,397.31
U372,P1674,2,Rs. 404.79,5,Rs. 384.55,Cash on Delivery,2024-10-31,2024,10,31,129,1,384.55
U1658,P110,0,Rs. 226.97,25,Rs. 170.23,UBL Omni,2024-10-21,2024,10,21,139,1,170.23
U1797,P1107,1,Rs. 134.52,30,Rs. 94.16,Cash on Delivery,2024-09-04,2024,9,4,186,1,94.16
U580,P940,3,Rs. 304.33,50,Rs. 152.16,UBL Omni,2024-01-01,2024,1,1,433,1,152.16
U1445,P1480,0,Rs. 27.13,30,Rs. 18.99,Cash on Delivery,2024-09-06,2024,9,6,184,1,18.99
U128,P1220,4,Rs. 120.24,30,Rs. 84.17,UBL Omni,2024-08-31,2024,8,31,190,1,84.17
U212,P650,5,Rs. 139.02,30,Rs. 97.31,Cash on Delivery,2024-01-18,2024,1,18,416,1,97.31
U735,P1725,1,Rs. 167.63,25,Rs. 125.72,Cash on Delivery,2024-01-03,2024,1,3,431,1,125.72
U1307,P996,4,Rs. 325.63,50,Rs. 162.81,Visa,2024-04-14,2024,4,14,329,1,162.81
U1400,P1324,5,Rs. 473.15,10,Rs. 425.83,Visa,2024-01-21,2024,1,21,413,1,425.83
U584,P3,2,Rs. 276.74,0,Rs. 276.74,Visa,2024-06-18,2024,6,18,264,1,276.74
U273,P1515,1,Rs. 221.27,30,Rs. 154.89,Cash on Delivery,2024-08-09,2024,8,9,212,1,154.89
U1924,P1953,2,Rs. 341.04,10,Rs. 306.94,Visa,2024-01-10,2024,1,10,424,1,306.94
U218,P503,2,Rs. 324.41,50,Rs. 162.21,JazzCash,2024-02-27,2024,2,27,376,1,162.21
U1486,P1361,2,Rs. 367.66,20,Rs. 294.13,Cash on Delivery,2024-02-10,2024,2,10,393,1,294.13
U866,P653,5,Rs. 420.31,50,Rs. 210.16,Visa,2024-03-04,2024,3,4,370,1,210.16
U821,P1851,6,Rs. 63.98,25,Rs. 47.98,UBL Omni,2024-08-26,2024,8,26,195,1,47.98
U710,P1901,1,Rs. 100.23,50,Rs. 50.12,Easypaisa,2024-05-31,2024,5,31,282,1,50.12
U232,P1677,3,Rs. 69.77,5,Rs. 66.28,Visa,2024-06-17,2024,6,17,265,1,66.28
U1624,P892,1,Rs. 39.02,25,Rs. 29.27,Cash on Delivery,2024-05-03,2024,5,3,310,1,29.27
U1413,P88,6,Rs. 430.16,20,Rs. 344.13,JazzCash,2024-01-31,2024,1,31,403,1,344.13
U1881,P164,4,Rs. 350.61,10,Rs. 315.55,Visa,2024-06-03,2024,6,3,279,1,315.55
U1522,P763,2,Rs. 76.69,0,Rs. 76.69,Visa,2024-07-02,2024,7,2,250,1,76.69
U1743,P78,0,Rs. 73.24,10,Rs. 65.92,Cash on Delivery,2024-01-07,2024,1,7,427,1,65.92
U1414,P1127,3,Rs. 40.86,30,Rs. 28.6,UBL Omni,2024-07-21,2024,7,21,231,1,28.6
U25,P1110,2,Rs. 308.66,5,Rs. 293.23,JazzCash,2024-10-25,2024,10,25,135,1,293.23
U674,P810,4,Rs. 131.56,30,Rs. 92.09,Visa,2024-02-03,2024,2,3,400,1,92.09
U1008,P1524,0,Rs. 429.22,25,Rs. 321.92,Visa,2024-01-09,2024,1,9,425,1,321.92
U325,P1542,0,Rs. 251.84,5,Rs. 239.25,UBL Omni,2024-01-23,2024,1,23,411,1,239.25
U578,P1237,2,Rs. 334.28,15,Rs. 284.14,Cash on Delivery,2024-05-07,2024,5,7,306,1,284.14
U513,P558,4,Rs. 179.92,25,Rs. 134.94,Easypaisa,2024-01-07,2024,1,7,427,1,134.94
U614,P1333,1,Rs. 479.52,15,Rs. 407.59,JazzCash,2024-09-25,2024,9,25,165,1,407.59
U477,P1549,5,Rs. 84.28,10,Rs. 75.85,Cash on Delivery,2024-09-23,2024,9,23,167,1,75.85
U1001,P787,1,Rs. 19.42,0,Rs. 19.42,JazzCash,2024-06-21,2024,6,21,261,1,19.42
U258,P879,4,Rs. 460.19,50,Rs. 230.09,Easypaisa,2024-02-29,2024,2,29,374,1,230.09
U1714,P433,1,Rs. 407.43,5,Rs. 387.06,Cash on Delivery,2024-08-28,2024,8,28,193,1,387.06
U159,P469,4,Rs. 351.87,0,Rs. 351.87,Easypaisa,2024-08-31,2024,8,31,190,1,351.87
U1921,P1794,0,Rs. 493.56,30,Rs. 345.49,JazzCash,2024-01-03,2024,1,3,431,1,345.49
U310,P1323,5,Rs. 225.17,30,Rs. 157.62,Cash on Delivery,2024-09-16,2024,9,16,174,1,157.62
U1321,P1520,4,Rs. 467.35,50,Rs. 233.68,Visa,2024-07-11,2024,7,11,241,1,233.68
