Invoice ID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Year,Month,Day,Recency,Frequency,Monetary_Value
451-28-5717,Faisalabad,0,0,4,Rs. 83.17,6,24.951,Rs. 523.971,2019-03-20,11:23,Cash on Delivery,499.02,4.761904762,24.951,7.3,2019,3,20,2181,1,523.971
137-63-5492,Faisalabad,1,1,0,Rs. 58.76,10,29.38,Rs. 616.98,2019-01-29,14:26,Easypaisa,587.6,4.761904762,29.38,9.0,2019,1,29,2231,1,616.98
733-29-1227,Faisalabad,1,1,4,Rs. 55.61,7,19.4635,Rs. 408.7335,2019-03-23,12:41,Cash on Delivery,389.27,4.761904762,19.4635,8.5,2019,3,23,2178,1,408.7335
322-02-2271,Lahore,1,0,5,Rs. 42.97,3,6.4455,Rs. 135.3555,2019-03-02,11:46,Cash on Delivery,128.91,4.761904762,6.4455,9.3,2019,3,2,2199,1,135.3555
569-71-4390,Lahore,1,1,5,Rs. 21.87,2,2.187,Rs. 45.927,2019-01-25,14:29,Easypaisa,43.74,4.761904762,2.187,6.9,2019,1,25,2235,1,45.927
648-94-3045,Faisalabad,1,1,3,Rs. 58.95,10,29.475,Rs. 618.975,2019-07-02,14:27,Easypaisa,589.5,4.761904762,29.475,8.1,2019,7,2,2077,1,618.975
816-57-2053,Lahore,1,1,5,Rs. 60.87,2,6.087,Rs. 127.827,2019-09-03,12:37,Easypaisa,121.74,4.761904762,6.087,8.7,2019,9,3,2014,1,127.827
189-52-0236,Lahore,1,1,0,Rs. 99.55,7,34.8425,Rs. 731.6925,2019-03-14,12:07,Cash on Delivery,696.85,4.761904762,34.8425,7.6,2019,3,14,2187,1,731.6925
316-66-3011,Lahore,0,0,2,Rs. 47.63,9,21.4335,Rs. 450.1035,2019-01-23,12:35,Cash on Delivery,428.67,4.761904762,21.4335,5.0,2019,1,23,2237,1,450.1035
700-81-1757,Lahore,1,0,0,Rs. 26.31,5,6.5775,Rs. 138.1275,2019-01-18,20:59,Credit card,131.55,4.761904762,6.5775,8.8,2019,1,18,2242,1,138.1275
380-60-5336,Lahore,1,0,0,Rs. 40.26,10,20.13,Rs. 422.73,2019-02-24,18:06,Credit card,402.6,4.761904762,20.13,5.0,2019,2,24,2205,1,422.73
263-10-3913,Faisalabad,0,1,1,Rs. 49.04,9,22.068,Rs. 463.428,2019-09-01,14:20,Credit card,441.36,4.761904762,22.068,8.6,2019,9,1,2016,1,463.428
610-46-4100,Lahore,1,1,3,Rs. 28.95,7,10.1325,Rs. 212.7825,2019-03-03,20:31,Credit card,202.65,4.761904762,10.1325,6.0,2019,3,3,2198,1,212.7825
531-56-4728,Lahore,1,1,4,Rs. 80.08,3,12.012,Rs. 252.252,2019-11-02,15:29,Cash on Delivery,240.24,4.761904762,12.012,5.4,2019,11,2,1954,1,252.252
131-70-8179,Lahore,0,0,3,Rs. 92.09,3,13.8135,Rs. 290.0835,2019-02-17,16:27,Cash on Delivery,276.27,4.761904762,13.8135,4.2,2019,2,17,2212,1,290.0835
146-09-5432,Lahore,0,1,2,Rs. 35.04,9,15.768,Rs. 331.128,2019-09-02,19:17,Easypaisa,315.36,4.761904762,15.768,4.6,2019,9,2,2015,1,331.128
136-08-6195,Lahore,1,0,4,Rs. 69.96,8,27.984,Rs. 587.664,2019-02-15,17:01,Credit card,559.68,4.761904762,27.984,6.4,2019,2,15,2214,1,587.664
291-55-6563,Lahore,0,0,4,Rs. 34.42,6,10.326,Rs. 216.846,2019-03-30,12:45,Easypaisa,206.52,4.761904762,10.326,7.5,2019,3,30,2171,1,216.846
525-09-8450,Lahore,1,1,0,Rs. 72.13,10,36.065,Rs. 757.365,2019-01-31,15:12,Credit card,721.3,4.761904762,36.065,4.2,2019,1,31,2229,1,757.365
787-15-1757,Faisalabad,0,1,3,Rs. 44.07,4,8.814,Rs. 185.094,2019-02-18,16:28,Easypaisa,176.28,4.761904762,8.814,8.4,2019,2,18,2211,1,185.094
213-32-1216,Lahore,1,0,0,Rs. 66.06,6,19.818,Rs. 416.178,2019-01-23,10:28,Cash on Delivery,396.36,4.761904762,19.818,7.3,2019,1,23,2237,1,416.178
414-12-7047,Lahore,1,1,2,Rs. 19.79,8,7.916,Rs. 166.236,2019-01-18,12:04,Easypaisa,158.32,4.761904762,7.916,8.7,2019,1,18,2242,1,166.236
261-12-8671,Lahore,1,0,1,Rs. 60.96,2,6.096,Rs. 128.016,2019-01-25,19:39,Credit card,121.92,4.761904762,6.096,4.9,2019,1,25,2235,1,128.016
339-38-9982,Lahore,0,1,1,Rs. 59.86,2,5.986,Rs. 125.706,2019-01-13,14:55,Easypaisa,119.72,4.761904762,5.986,6.7,2019,1,13,2247,1,125.706
888-02-0338,Lahore,1,1,0,Rs. 26.23,9,11.8035,Rs. 247.8735,2019-01-25,20:24,Easypaisa,236.07,4.761904762,11.8035,5.9,2019,1,25,2235,1,247.8735
645-78-8093,Lahore,1,0,5,Rs. 93.14,2,9.314,Rs. 195.594,2019-01-20,18:09,Easypaisa,186.28,4.761904762,9.314,4.1,2019,1,20,2240,1,195.594
189-98-2939,Faisalabad,1,1,1,Rs. 78.55,9,35.3475,Rs. 742.2975,2019-01-03,13:22,Cash on Delivery,706.95,4.761904762,35.3475,7.2,2019,1,3,2257,1,742.2975
764-44-8999,Lahore,1,0,3,Rs. 14.76,2,1.476,Rs. 30.996,2019-02-18,14:42,Easypaisa,29.52,4.761904762,1.476,4.3,2019,2,18,2211,1,30.996
595-94-9924,Lahore,0,0,3,Rs. 27.73,5,6.9325,Rs. 145.5825,2019-03-26,20:21,Credit card,138.65,4.761904762,6.9325,4.2,2019,3,26,2175,1,145.5825
676-10-2200,Lahore,0,1,1,Rs. 53.78,1,2.689,Rs. 56.469,2019-03-02,20:13,Easypaisa,53.78,4.761904762,2.689,4.7,2019,3,2,2199,1,56.469
441-94-7118,Lahore,0,1,0,Rs. 71.95,1,3.5975,Rs. 75.5475,2019-04-02,12:14,Cash on Delivery,71.95,4.761904762,3.5975,7.3,2019,4,2,2168,1,75.5475
575-30-8091,Lahore,1,1,5,Rs. 72.5,8,29.0,Rs. 609.0,2019-03-16,19:25,Easypaisa,580.0,4.761904762,29.0,9.2,2019,3,16,2185,1,609.0
436-54-4512,Lahore,0,0,2,Rs. 91.61,1,4.5805,Rs. 96.1905,2019-03-20,19:44,Cash on Delivery,91.61,4.761904762,4.5805,9.8,2019,3,20,2181,1,96.1905
420-18-8989,Lahore,0,0,5,Rs. 51.52,8,20.608,Rs. 432.768,2019-02-02,15:47,Cash on Delivery,412.16,4.761904762,20.608,9.6,2019,2,2,2227,1,432.768
201-86-2184,Lahore,0,0,0,Rs. 26.26,7,9.191,Rs. 193.011,2019-02-02,19:40,Cash on Delivery,183.82,4.761904762,9.191,9.9,2019,2,2,2227,1,193.011
699-01-4164,Faisalabad,1,1,3,Rs. 41.5,4,8.3,Rs. 174.3,2019-12-03,19:58,Credit card,166.0,4.761904762,8.3,8.2,2019,12,3,1923,1,174.3
648-83-1321,Lahore,0,1,4,Rs. 63.56,10,31.78,Rs. 667.38,2019-01-16,17:59,Cash on Delivery,635.6,4.761904762,31.78,4.3,2019,1,16,2244,1,667.38
375-72-3056,Lahore,1,1,5,Rs. 63.06,3,9.459,Rs. 198.639,2019-01-19,15:58,Easypaisa,189.18,4.761904762,9.459,7.0,2019,1,19,2241,1,198.639
509-10-0516,Lahore,1,1,4,Rs. 45.97,4,9.194,Rs. 193.074,2019-09-02,12:02,Easypaisa,183.88,4.761904762,9.194,5.1,2019,9,2,2015,1,193.074
120-06-4233,Faisalabad,1,1,0,Rs. 30.61,6,9.183,Rs. 192.843,2019-12-03,20:36,Cash on Delivery,183.66,4.761904762,9.183,9.3,2019,12,3,1923,1,192.843
730-61-8757,Lahore,0,1,3,Rs. 51.13,4,10.226,Rs. 214.746,2019-01-25,10:11,Credit card,204.52,4.761904762,10.226,4.0,2019,1,25,2235,1,214.746
766-85-7061,Lahore,1,1,3,Rs. 87.87,10,43.935,Rs. 922.635,2019-03-29,10:25,Easypaisa,878.7,4.761904762,43.935,5.1,2019,3,29,2172,1,922.635
870-76-1733,Lahore,0,0,2,Rs. 14.23,5,3.5575,Rs. 74.7075,2019-01-02,10:08,Credit card,71.15,4.761904762,3.5575,4.4,2019,1,2,2258,1,74.7075
744-82-9138,Faisalabad,1,1,1,Rs. 86.13,2,8.613,Rs. 180.873,2019-07-02,17:59,Cash on Delivery,172.26,4.761904762,8.613,8.2,2019,7,2,2077,1,180.873
