Invoice ID,Electronic accessories,Fashion accessories,Food and beverages,Health and beauty,Home and lifestyle,Sports and travel
101-17-6199,0.0,0.0,336.5565,0.0,0.0,0.0
101-81-4070,0.0,0.0,0.0,131.922,0.0,0.0
102-06-2002,0.0,0.0,0.0,0.0,0.0,132.5625
102-77-2261,0.0,0.0,0.0,480.0285,0.0,0.0
105-10-6182,0.0,45.108,0.0,0.0,0.0,0.0
105-31-1824,0.0,0.0,0.0,0.0,0.0,510.972
106-35-6779,0.0,0.0,0.0,0.0,93.114,0.0
109-28-2512,0.0,614.943,0.0,0.0,0.0,0.0
109-86-4363,0.0,0.0,0.0,0.0,0.0,441.588
110-05-6330,0.0,0.0,248.409,0.0,0.0,0.0
110-48-7033,0.0,137.004,0.0,0.0,0.0,0.0
114-35-5271,486.444,0.0,0.0,0.0,0.0,0.0
115-38-7388,0.0,85.512,0.0,0.0,0.0,0.0
115-99-4379,0.0,402.2655,0.0,0.0,0.0,0.0
118-62-1812,0.0,0.0,0.0,0.0,329.196,0.0
120-06-4233,192.843,0.0,0.0,0.0,0.0,0.0
120-54-2248,0.0,0.0,151.515,0.0,0.0,0.0
122-61-9553,484.974,0.0,0.0,0.0,0.0,0.0
123-19-1176,0.0,0.0,0.0,489.048,0.0,0.0
123-35-4896,0.0,0.0,0.0,0.0,0.0,440.937
124-31-1458,250.7085,0.0,0.0,0.0,0.0,0.0
125-45-2293,0.0,624.33,0.0,0.0,0.0,0.0
126-54-1082,0.0,0.0,0.0,0.0,203.553,0.0
127-47-6963,0.0,0.0,0.0,217.182,0.0,0.0
129-29-8530,0.0,0.0,0.0,0.0,0.0,328.755
130-67-4723,0.0,0.0,305.55,0.0,0.0,0.0
130-98-8941,0.0,472.311,0.0,0.0,0.0,0.0
131-15-8856,0.0,0.0,609.168,0.0,0.0,0.0
131-70-8179,0.0,0.0,0.0,290.0835,0.0,0.0
132-23-6451,0.0,0.0,0.0,110.0925,0.0,0.0
132-32-9879,394.632,0.0,0.0,0.0,0.0,0.0
133-14-7229,0.0,0.0,0.0,132.027,0.0,0.0
133-77-3154,0.0,252.756,0.0,0.0,0.0,0.0
134-54-4720,356.328,0.0,0.0,0.0,0.0,0.0
134-75-2619,142.002,0.0,0.0,0.0,0.0,0.0
135-13-8269,0.0,0.0,165.648,0.0,0.0,0.0
135-84-8019,0.0,736.4385,0.0,0.0,0.0,0.0
136-08-6195,0.0,0.0,0.0,0.0,587.664,0.0
137-63-5492,616.98,0.0,0.0,0.0,0.0,0.0
137-74-8729,0.0,102.396,0.0,0.0,0.0,0.0
