User_ID,Product_ID,Category,Final_Price(Rs.),Purchase_Date
U1437,P1112,Sports,31.05,2024-11-12
U734,P1201,Clothing,186.23,2024-02-09
U784,P2,Sports,237.76,2024-09-01
U1485,P208,Toys,129.89,2024-04-01
U305,P849,Beauty,195.84,2024-09-27
U1555,P266,Books,120.93,2024-08-08
U505,P816,Toys,73.06,2024-03-28
U221,P20,Sports,170.58,2024-05-29
U1868,P65,Sports,360.82,2024-02-26
U10,P1448,Home & Kitchen,207.68,2024-01-11
U162,P479,Books,65.78,2024-10-21
U1510,P948,Beauty,334.7,2024-09-10
U1255,P122,Home & Kitchen,258.92,2024-03-08
U1999,P1062,Sports,13.13,2024-05-10
U38,P1519,Clothing,228.83,2024-06-20
U306,P1766,Home & Kitchen,108.02,2024-04-28
U1606,P175,Toys,426.75,2024-08-17
U506,P541,Home & Kitchen,52.98,2024-08-08
U1849,P1849,Electronics,223.89,2024-06-13
U1202,P1949,Clothing,166.75,2024-09-23
U1918,P332,Home & Kitchen,65.64,2024-06-01
U731,P40,Toys,21.45,2024-04-19
U1584,P977,Books,336.37,2024-11-07
U159,P469,Home & Kitchen,351.87,2024-08-31
U1582,P279,Toys,205.71,2024-09-14
U1125,P746,Sports,265.6,2024-02-03
U268,P1983,Toys,262.91,2024-04-14
U109,P481,Beauty,176.35,2024-08-06
U230,P920,Electronics,176.47,2024-08-05
U774,P806,Toys,209.08,2024-06-28
U398,P1833,Toys,350.75,2024-04-22
U190,P1636,Home & Kitchen,61.65,2024-10-07
U857,P1602,Beauty,20.39,2024-03-20
U1629,P833,Toys,78.82,2024-03-10
U1997,P531,Home & Kitchen,112.26,2024-05-21
U1108,P1789,Books,285.77,2024-06-01
U646,P1975,Toys,18.13,2024-01-15
U1702,P1573,Clothing,81.1,2024-04-21
U1856,P1262,Clothing,441.69,2024-08-03
U1788,P725,Electronics,94.03,2024-07-01
U1005,P876,Home & Kitchen,303.33,2024-02-20
U323,P659,Toys,363.06,2024-08-25
U1482,P1354,Electronics,303.14,2024-05-17
U1616,P1871,Home & Kitchen,253.36,2024-06-18
U1060,P1660,Clothing,404.77,2024-09-15
U1315,P905,Sports,191.04,2024-05-12
U670,P881,Home & Kitchen,367.96,2024-02-25
