User_ID,Product_ID,Category,Price (Rs.),Discount (%),Final_Price(Rs.),Payment_Method,Purchase_Date
U3356,P2789,Sports,36.53,15,31.05,Easypaisa,12-11-2024
U2210,P2939,Clothing,232.79,20,186.23,Easypaisa,09-02-2024
U2287,P1002,Sports,317.02,25,237.76,UBL Omni,01-09-2024
U3446,P1306,Toys,173.19,25,129.89,JazzCash,01-04-2024
U1488,P2354,Beauty,244.8,20,195.84,Easypaisa,27-09-2024
U3548,P14,Books,241.86,50,120.93,JazzCash,08-08-2024
U1791,P2300,Toys,76.91,5,73.06,UBL Omni,28-03-2024
U1342,P1033,Sports,213.23,20,170.58,Easypaisa,29-05-2024
U789,P1097,Sports,379.81,5,360.82,UBL Omni,26-02-2024
U1014,P3357,Home & Kitchen,415.36,50,207.68,Easypaisa,11-01-2024
U1254,P1750,Books,73.09,10,65.78,Cash on Delivery,21-10-2024
U3476,P2506,Beauty,393.77,15,334.7,Cash on Delivery,10-09-2024
U3069,P1176,Home & Kitchen,287.69,10,258.92,UBL Omni,08-03-2024
U998,P2708,Sports,26.26,50,13.13,UBL Omni,10-05-2024
U1055,P3464,Clothing,305.1,25,228.83,JazzCash,20-06-2024
U1489,P590,Home & Kitchen,113.71,5,108.02,UBL Omni,28-04-2024
U3645,P1255,Toys,426.75,0,426.75,Easypaisa,17-08-2024
U1793,P1857,Home & Kitchen,52.98,0,52.98,Easypaisa,08-08-2024
U752,P750,Electronics,223.89,0,223.89,Cash on Delivery,13-06-2024
U2971,P91,Clothing,166.75,0,166.75,Debit Card,23-09-2024
U870,P1511,Home & Kitchen,77.22,15,65.64,Cash on Delivery,01-06-2024
U2205,P106,Toys,28.6,25,21.45,UBL Omni,19-04-2024
U3600,P2556,Books,395.73,15,336.37,Cash on Delivery,07-11-2024
U1249,P1737,Home & Kitchen,351.87,0,351.87,Easypaisa,31-08-2024
U3598,P142,Toys,257.14,20,205.71,Easypaisa,14-09-2024
U285,P2192,Sports,332.0,20,265.6,Easypaisa,03-02-2024
U1415,P971,Toys,375.59,30,262.91,Easypaisa,14-04-2024
U1173,P1752,Beauty,235.13,25,176.35,JazzCash,06-08-2024
U1358,P2468,Electronics,352.95,50,176.47,JazzCash,05-08-2024
U2273,P2287,Toys,245.98,15,209.08,Cash on Delivery,28-06-2024
U1634,P712,Toys,389.72,10,350.75,Debit Card,22-04-2024
U1297,P366,Home & Kitchen,88.07,30,61.65,JazzCash,07-10-2024
U2405,P3596,Beauty,40.78,50,20.39,Cash on Delivery,20-03-2024
U393,P2328,Toys,105.1,25,78.82,Easypaisa,10-03-2024
U996,P1837,Home & Kitchen,224.52,50,112.26,Debit Card,21-05-2024
U2822,P629,Books,300.81,5,285.77,Debit Card,01-06-2024
U2048,P956,Toys,24.17,25,18.13,UBL Omni,15-01-2024
U526,P3553,Clothing,95.41,15,81.1,Debit Card,21-04-2024
U768,P3032,Clothing,490.77,10,441.69,JazzCash,03-08-2024
U656,P2154,Electronics,188.07,50,94.03,Debit Card,01-07-2024
U2668,P2402,Home & Kitchen,319.29,5,303.33,UBL Omni,20-02-2024
U1511,P2052,Toys,403.4,10,363.06,Easypaisa,25-08-2024
U3439,P3193,Electronics,303.14,0,303.14,Debit Card,17-05-2024
U371,P798,Home & Kitchen,337.81,25,253.36,UBL Omni,18-06-2024
