User_ID,Product_ID,Category,Price (Rs.),Discount (%),Final_Price(Rs.),Payment_Method,Purchase_Date,Year,Month,Day
U1912,P56,3,144.04,0,0.2814046809117389,Debit Card,2024-02-10,2024,2,10
U2965,P572,5,133.61,10,0.23294563379707905,Cash on Delivery,2024-01-06,2024,1,6
U2208,P792,3,429.9,25,0.6447558715091766,Cash on Delivery,2024-08-06,2024,8,6
U2303,P3401,2,44.29,0,0.07821889067687858,UBL Omni,2024-10-08,2024,10,8
U2165,P2782,5,187.71,10,0.3321247428350274,Cash on Delivery,2024-07-12,2024,7,12
U1648,P318,2,109.25,5,0.19941743222047953,UBL Omni,2024-09-24,2024,9,24
U1337,P3283,2,125.93,20,0.1932047338724462,Easypaisa,2024-06-14,2024,6,14
U2700,P1404,1,33.8,30,0.03619660644083678,JazzCash,2024-02-19,2024,2,19
U2274,P669,0,51.2,10,0.08186503167457683,JazzCash,2024-02-23,2024,2,23
U2855,P2693,6,480.9,5,0.9185830973865929,Easypaisa,2024-06-29,2024,6,29
U3561,P2040,3,477.36,25,0.7172713014075327,Easypaisa,2024-11-20,2024,11,20
U2328,P1140,3,109.9,15,0.17829425783716624,UBL Omni,2024-07-24,2024,7,24
U3193,P2119,1,96.82,5,0.17536104943678327,UBL Omni,2024-05-24,2024,5,24
U1482,P185,5,122.96,15,0.20090440592345143,Cash on Delivery,2024-07-18,2024,7,18
U2818,P109,1,41.06,10,0.06326767563603773,Cash on Delivery,2024-10-17,2024,10,17
U2189,P695,2,170.8,20,0.26633124885421544,Cash on Delivery,2024-08-23,2024,8,23
U3552,P1131,4,493.82,25,0.7424276373413726,Debit Card,2024-11-14,2024,11,14
U168,P57,4,478.62,5,0.9141832847860185,Cash on Delivery,2024-03-09,2024,3,9
U1801,P3158,3,356.25,30,0.4959566536980832,JazzCash,2024-07-19,2024,7,19
U3531,P443,2,466.18,0,0.9375878434807408,JazzCash,2024-02-09,2024,2,9
U2760,P83,5,209.44,30,0.2866396431263113,JazzCash,2024-04-03,2024,4,3
U2224,P13,2,176.69,25,0.2579390137086754,Easypaisa,2024-02-21,2024,2,21
U2573,P1722,6,204.49,5,0.3837206933778747,Debit Card,2024-02-24,2024,2,24
U2089,P1201,4,211.85,20,0.333224695985171,JazzCash,2024-05-28,2024,5,28
U68,P3434,3,128.88,10,0.2242682256126128,Debit Card,2024-08-02,2024,8,2
U492,P2217,1,277.14,10,0.4960788707147659,JazzCash,2024-07-15,2024,7,15
U2277,P2642,5,23.85,20,0.026867374167396568,Cash on Delivery,2024-10-10,2024,10,10
U3375,P2342,5,287.83,30,0.3984071048825698,Debit Card,2024-07-25,2024,7,25
U2169,P102,3,205.35,0,0.406290102458599,JazzCash,2024-10-05,2024,10,5
U2567,P1823,2,140.83,10,0.2461858106043632,Easypaisa,2024-01-06,2024,1,6
U2715,P400,2,67.34,5,0.11830607214877885,UBL Omni,2024-03-09,2024,3,9
U125,P2361,1,444.77,25,0.6674882366121444,Cash on Delivery,2024-11-03,2024,11,3
U2144,P2150,2,264.43,0,0.5266331248854217,JazzCash,2024-02-11,2024,2,11
U1804,P3048,2,319.97,15,0.5419917299818713,UBL Omni,2024-04-17,2024,4,17
U1889,P3063,0,144.56,10,0.2530095940358096,JazzCash,2024-08-08,2024,8,8
U451,P1575,6,146.22,50,0.1369237976900984,Debit Card,2024-03-31,2024,3,31
U1357,P3014,1,384.23,15,0.6532703236713994,Debit Card,2024-11-21,2024,11,21
U3335,P2253,5,480.02,50,0.47689079909559406,Debit Card,2024-10-07,2024,10,7
U2145,P1276,6,243.52,15,0.4096307009145907,Cash on Delivery,2024-01-22,2024,1,22
U1023,P3595,2,496.95,25,0.7471941009919948,Debit Card,2024-03-01,2024,3,1
U921,P341,5,497.4,50,0.4945918970117939,Debit Card,2024-08-08,2024,8,8
U1772,P2967,0,95.3,5,0.17240747153361988,Easypaisa,2024-09-01,2024,9,1
U100,P3485,6,145.56,0,0.28450084533436537,Debit Card,2024-03-14,2024,3,14
U2969,P2275,0,459.39,30,0.6430244637728394,Cash on Delivery,2024-07-06,2024,7,6
U280,P1997,1,409.67,20,0.6555924469883692,JazzCash,2024-10-09,2024,10,9
U2780,P2469,4,278.03,10,0.4977084309372008,UBL Omni,2024-02-14,2024,2,14
U3157,P2152,3,450.82,5,0.8603874279428839,UBL Omni,2024-07-18,2024,7,18
U247,P2892,5,308.9,30,0.4284521214837146,Cash on Delivery,2024-04-14,2024,4,14
U3159,P583,1,170.5,10,0.3005723830281303,Cash on Delivery,2024-10-22,2024,10,22
U3175,P3047,0,76.11,50,0.0655083209418858,Debit Card,2024-03-22,2024,3,22
U3127,P1796,0,421.16,30,0.5885156743323896,Easypaisa,2024-01-28,2024,1,28
U660,P3197,0,271.29,0,0.5406066037928016,UBL Omni,2024-07-15,2024,7,15
U448,P547,5,420.22,0,0.8439696087018518,Cash on Delivery,2024-02-17,2024,2,17
U509,P161,6,359.22,25,0.5367975067728598,Debit Card,2024-05-18,2024,5,18
U957,P2057,3,471.26,15,0.8039435357382927,JazzCash,2024-09-16,2024,9,16
U2372,P2260,0,437.1,20,0.7002831360886482,Easypaisa,2024-11-14,2024,11,14
U3002,P1046,0,33.21,20,0.042124131749943984,Easypaisa,2024-03-14,2024,3,14
U1155,P3525,3,431.46,10,0.7789705253294769,Debit Card,2024-03-02,2024,3,2
U2497,P1563,2,84.13,30,0.1079583647363168,UBL Omni,2024-04-27,2024,4,27
U1531,P2081,6,221.53,30,0.3038722424785611,JazzCash,2024-10-16,2024,10,16
U2142,P3628,1,481.16,25,0.7230766096999574,Cash on Delivery,2024-05-20,2024,5,20
U2039,P2291,1,96.23,20,0.14480679526612758,Debit Card,2024-07-19,2024,7,19
U899,P1244,2,378.95,20,0.6055242091540547,UBL Omni,2024-11-21,2024,11,21
U2505,P537,6,275.78,30,0.38123561403866135,Easypaisa,2024-08-17,2024,8,17
U2672,P962,1,382.19,0,0.7665043896278493,UBL Omni,2024-06-29,2024,6,29
U742,P421,1,434.51,15,0.7403092090522071,UBL Omni,2024-07-15,2024,7,15
U3135,P2852,0,126.93,5,0.23361782738883347,Cash on Delivery,2024-09-13,2024,9,13
U2316,P707,0,243.77,30,0.3355875583077017,UBL Omni,2024-06-21,2024,6,21
U3038,P1979,3,79.22,0,0.14936956388894548,Cash on Delivery,2024-02-11,2024,2,11
U3085,P1065,1,458.91,5,0.8760312060782597,Debit Card,2024-02-01,2024,2,1
U456,P1795,6,49.61,10,0.07895219277697431,Easypaisa,2024-08-06,2024,8,6
U597,P680,3,496.29,10,0.8978265740533276,Cash on Delivery,2024-02-26,2024,2,26
U2799,P1126,4,334.87,50,0.3290693174179618,Cash on Delivery,2024-11-14,2024,11,14
U714,P3566,4,59.16,20,0.08441121952213146,Cash on Delivery,2024-03-25,2024,3,25
U1004,P282,0,230.14,20,0.3630252785529506,UBL Omni,2024-09-04,2024,9,4
U114,P2082,0,372.91,25,0.5576966166255882,Cash on Delivery,2024-06-26,2024,6,26
U3114,P1986,5,426.79,15,0.7269468152282403,Debit Card,2024-10-10,2024,10,10
U1273,P2236,4,389.59,10,0.7022182388527897,UBL Omni,2024-08-08,2024,8,8
U3523,P1455,0,499.65,10,0.9039985333957999,Debit Card,2024-07-25,2024,7,25
U3029,P863,0,129.89,5,0.23936202717291674,Debit Card,2024-04-21,2024,4,21
U291,P1167,5,288.05,0,0.5747458904528141,Easypaisa,2024-06-21,2024,6,21
U1220,P2634,6,302.73,30,0.41965249628256573,JazzCash,2024-05-24,2024,5,24
U696,P523,5,247.75,5,0.46741898030269086,Easypaisa,2024-07-11,2024,7,11
U773,P3205,4,268.41,20,0.425396696066649,Cash on Delivery,2024-07-28,2024,7,28
U1924,P2061,5,233.66,20,0.36876947833703383,Cash on Delivery,2024-03-05,2024,3,5
U1606,P1079,4,463.22,5,0.884382702218239,Cash on Delivery,2024-06-02,2024,6,2
U550,P2209,1,466.36,25,0.7004664616136721,JazzCash,2024-09-13,2024,9,13
U3367,P605,6,291.38,10,0.5221722037765059,Debit Card,2024-09-13,2024,9,13
U2177,P2793,2,172.78,5,0.32234738150041753,Debit Card,2024-06-01,2024,6,1
U1766,P2266,2,392.74,5,0.747988511600432,Cash on Delivery,2024-01-26,2024,1,26
U438,P2988,0,300.6,15,0.5084635284052716,JazzCash,2024-10-12,2024,10,12
U1731,P1258,2,378.27,0,0.7585195445379179,Cash on Delivery,2024-03-29,2024,3,29
U1241,P2515,0,199.88,10,0.35442934837960605,Easypaisa,2024-01-20,2024,1,20
U1588,P3552,4,156.3,0,0.30637769132055487,JazzCash,2024-07-17,2024,7,17
U593,P877,5,71.33,20,0.1042307457274968,Cash on Delivery,2024-04-10,2024,4,10
U2358,P1057,4,297.02,5,0.5627686228179172,UBL Omni,2024-05-11,2024,5,11
U153,P3091,5,106.47,30,0.13981626708492048,JazzCash,2024-01-14,2024,1,14
U431,P2660,6,282.3,50,0.27551789460819265,JazzCash,2024-07-13,2024,7,13
U1623,P670,1,400.63,30,0.5592446988369014,JazzCash,2024-03-15,2024,3,15
U2232,P1095,4,298.05,5,0.5647648340903999,UBL Omni,2024-04-15,2024,4,15
U1187,P652,1,214.73,50,0.20668934471309558,JazzCash,2024-09-24,2024,9,24
U3575,P1377,1,404.85,25,0.6065019452875156,UBL Omni,2024-05-02,2024,5,2
U1689,P1856,3,96.93,50,0.0867333428391013,Cash on Delivery,2024-08-15,2024,8,15
U861,P119,6,494.04,5,0.9440246063593588,UBL Omni,2024-04-23,2024,4,23
U2302,P2772,3,27.64,50,0.016153015704886642,Cash on Delivery,2024-11-21,2024,11,21
U891,P967,3,132.23,25,0.19000672193591758,Easypaisa,2024-02-13,2024,2,13
U3584,P1700,2,461.66,20,0.7403092090522071,UBL Omni,2024-10-06,2024,10,6
U3000,P1239,3,11.16,5,0.009594035809585887,JazzCash,2024-08-16,2024,8,16
U924,P673,6,489.29,10,0.8849937873016521,Easypaisa,2024-01-19,2024,1,19
U2837,P1135,2,167.14,10,0.2944207931884383,Cash on Delivery,2024-11-12,2024,11,12
U788,P2655,6,410.07,50,0.405638278369625,Cash on Delivery,2024-09-05,2024,9,5
U851,P1545,2,428.52,50,0.42443932943596846,UBL Omni,2024-07-15,2024,7,15
U2291,P3194,1,187.72,20,0.29391155561892734,UBL Omni,2024-02-12,2024,2,12
U2094,P1630,0,369.78,10,0.6658994153952703,JazzCash,2024-08-15,2024,8,15
U1322,P2396,2,298.3,25,0.44372924856904244,UBL Omni,2024-10-20,2024,10,20
