Invoice ID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Year,Month,Day
848-62-7243,Rawalpindi,Normal,Male,Health and beauty,24.89,9,11.2005,0.21757577607521136,2019-03-15,15:36,0,224.01,4.761904762,11.2005,7.4,2019,3,15
583-41-4548,Islamabad,Normal,Male,Home and lifestyle,16.67,7,5.8345,0.1083809000539259,2019-02-07,11:36,2,116.69,4.761904762,5.8345,7.4,2019,2,7
800-09-8606,Rawalpindi,Member,Female,Home and lifestyle,87.37,5,21.8425,0.4341340821912233,2019-01-29,19:45,0,436.85,4.761904762,21.8425,6.6,2019,1,29
283-26-5248,Islamabad,Member,Female,Food and beverages,98.52,10,49.26,0.9920637343182442,2019-01-30,20:23,2,985.2,4.761904762,49.26,4.5,2019,1,30
288-62-1085,Rawalpindi,Member,Male,Fashion accessories,38.54,5,9.635,0.18571879165267646,2019-01-09,13:34,2,192.7,4.761904762,9.635,5.6,2019,1,9
152-68-2907,Rawalpindi,Normal,Male,Food and beverages,52.2,3,7.83,0.14898812612557616,2019-02-15,13:30,1,156.6,4.761904762,7.83,9.5,2019,2,15
505-02-0892,Faisalabad,Member,Male,Health and beauty,42.57,8,17.028,0.3361618998199078,2019-02-25,14:12,2,340.56,4.761904762,17.028,5.6,2019,2,25
777-67-2495,Faisalabad,Normal,Male,Home and lifestyle,68.97,3,10.3455,0.20017703977290072,2019-02-22,11:26,2,206.91,4.761904762,10.3455,8.7,2019,2,22
632-32-4574,Faisalabad,Normal,Male,Sports and travel,75.92,8,30.368,0.6076228849343221,2019-03-20,14:14,0,607.36,4.761904762,30.368,5.5,2019,3,20
109-86-4363,Faisalabad,Member,Female,Sports and travel,60.08,7,21.028,0.41755949655586416,2019-02-14,11:36,1,420.56,4.761904762,21.028,4.5,2019,2,14
877-22-3308,Rawalpindi,Member,Male,Health and beauty,15.87,10,7.935,0.15112481303989497,2019-03-13,16:40,0,158.7,4.761904762,7.935,5.8,2019,3,13
280-17-4359,Islamabad,Member,Male,Health and beauty,90.5,10,45.25,0.9104626435904478,2019-01-25,13:48,0,905.0,4.761904762,45.25,8.1,2019,1,25
226-34-0034,Faisalabad,Normal,Female,Electronic accessories,13.78,4,2.756,0.045735274666015485,2019-01-10,11:10,2,55.12,4.761904762,2.756,9.0,2019,1,10
760-53-9233,Rawalpindi,Member,Male,Fashion accessories,41.28,3,6.192,0.115655810262202,2019-03-26,18:37,1,123.84,4.761904762,6.192,8.5,2019,3,26
169-52-4504,Rawalpindi,Normal,Female,Electronic accessories,15.69,3,2.3535,0.037544641494459866,2019-03-14,14:13,1,47.07,4.761904762,2.3535,5.8,2019,3,14
634-97-8956,Rawalpindi,Normal,Male,Food and beverages,32.9,3,4.935,0.09007661548792771,2019-02-17,17:27,1,98.7,4.761904762,4.935,9.1,2019,2,17
714-02-3114,Islamabad,Normal,Female,Sports and travel,98.8,2,9.88,0.19070439445275378,2019-02-21,11:39,0,197.6,4.761904762,9.88,7.7,2019,2,21
785-13-7708,Faisalabad,Normal,Male,Food and beverages,73.06,7,25.571,0.5100068170487265,2019-01-14,19:06,1,511.42,4.761904762,25.571,4.2,2019,1,14
851-98-3555,Faisalabad,Normal,Female,Health and beauty,82.88,5,20.72,0.41129188160719554,2019-03-24,14:08,1,414.4,4.761904762,20.72,6.6,2019,3,24
760-27-5490,Islamabad,Normal,Male,Fashion accessories,15.62,8,6.248,0.1167953766165054,2019-01-20,20:37,2,124.96,4.761904762,6.248,9.1,2019,1,20
411-77-0180,Rawalpindi,Member,Male,Electronic accessories,72.2,7,25.27,0.5038816478943458,2019-03-26,20:14,2,505.4,4.761904762,25.27,4.3,2019,3,26
238-45-6950,Faisalabad,Member,Male,Food and beverages,53.72,1,2.686,0.04431081672313625,2019-03-01,20:03,2,53.72,4.761904762,2.686,6.4,2019,3,1
883-69-1285,Faisalabad,Member,Male,Fashion accessories,49.92,2,4.992,0.09123653124141508,2019-03-06,11:55,1,99.84,4.761904762,4.992,7.0,2019,3,6
574-22-5561,Islamabad,Member,Female,Fashion accessories,82.63,10,41.315,0.8303877578014508,2019-03-19,17:08,2,826.3,4.761904762,41.315,7.9,2019,3,19
781-84-8059,Islamabad,Normal,Male,Fashion accessories,60.74,7,21.259,0.42226020776736567,2019-01-18,16:23,2,425.18,4.761904762,21.259,5.0,2019,1,18
631-41-3108,Rawalpindi,Normal,Male,Home and lifestyle,46.33,7,16.2155,0.3196280129829167,2019-03-03,13:23,1,324.31,4.761904762,16.2155,7.4,2019,3,3
841-18-8232,Faisalabad,Normal,Female,Food and beverages,71.2,1,3.56,0.062096191609942716,2019-01-05,20:40,1,71.2,4.761904762,3.56,9.2,2019,1,5
860-79-0874,Islamabad,Member,Female,Fashion accessories,99.3,10,49.65,0.9999999999999999,2019-02-15,14:53,1,993.0,4.761904762,49.65,6.6,2019,2,15
545-07-8534,Islamabad,Normal,Female,Health and beauty,58.32,2,5.832,0.10833002655596592,2019-02-14,12:42,2,116.64,4.761904762,5.832,6.0,2019,2,14
339-12-4827,Faisalabad,Member,Female,Fashion accessories,73.96,1,3.698,0.0649044086973332,2019-01-05,11:32,1,73.96,4.761904762,3.698,5.0,2019,1,5
150-89-8043,Rawalpindi,Normal,Male,Sports and travel,44.65,3,6.6975,0.1259424315497085,2019-02-14,15:04,0,133.95,4.761904762,6.6975,6.2,2019,2,14
652-49-6720,Islamabad,Member,Female,Electronic accessories,60.95,1,3.0475,0.05166712452814831,2019-02-18,11:40,2,60.95,4.761904762,3.0475,5.9,2019,2,18
246-11-3901,Islamabad,Normal,Female,Electronic accessories,32.8,10,16.4,0.3233824771323626,2019-02-15,12:12,0,328.0,4.761904762,16.4,6.2,2019,2,15
339-96-8318,Faisalabad,Member,Male,Fashion accessories,81.31,7,28.4585,0.5687657071924951,2019-03-01,19:49,2,569.17,4.761904762,28.4585,6.3,2019,3,1
595-11-5460,Rawalpindi,Normal,Male,Health and beauty,96.58,2,9.658,0.18618682783390822,2019-03-15,10:12,1,193.16,4.761904762,9.658,5.1,2019,3,15
149-71-6266,Faisalabad,Member,Male,Sports and travel,78.07,9,35.1315,0.7045572479472542,2019-01-28,12:43,0,702.63,4.761904762,35.1315,4.5,2019,1,28
